Series,InstanceType,CPU,Memory,Price
ecs.hfg7.xlarge,4,16.0,,hfg7,h
ecs.hfr7.2xlarge,8,64.0,,hfr7,h
ecs.hfc7.3xlarge,12,24.0,,hfc7,h
ecs.hfg8i.16xlarge,64,256.0,,hfg8i,h
ecs.hfr8i.16xlarge,64,512.0,,hfr8i,h
ecs.hfr8i.32xlarge,128,1024.0,,hfr8i,h
ecs.hfr8i.large,2,16.0,,hfr8i,h
ecs.hfc7.24xlarge,96,192.0,,hfc7,h
ecs.hfr6.6xlarge,24,192.0,13.2532,hfr6,h
ecs.hfr8i.3xlarge,12,96.0,,hfr8i,h
ecs.hfc6.4xlarge,16,32.0,5.4924,hfc6,h
ecs.hfc8i.8xlarge,32,64.0,,hfc8i,h
ecs.hfg6.6xlarge,24,96.0,10.4764,hfg6,h
ecs.hfr8i.6xlarge,24,192.0,,hfr8i,h
ecs.hfg6.large,2,8.0,0.8822,hfg6,h
ecs.hfr7.8xlarge,32,256.0,,hfr7,h
ecs.hfg7.4xlarge,16,64.0,,hfg7,h
ecs.hfg7.24xlarge,96,384.0,,hfg7,h
ecs.hfg8i.8xlarge,32,128.0,,hfg8i,h
ecs.hfc7.large,2,4.0,,hfc7,h
ecs.hfr8i.8xlarge,32,256.0,,hfr8i,h
ecs.hfg8i.3xlarge,12,48.0,,hfg8i,h
ecs.hfg8i.6xlarge,24,96.0,,hfg8i,h
ecs.hfc6.8xlarge,32,64.0,10.9748,hfc6,h
ecs.hfg6.8xlarge,32,128.0,13.9652,hfg6,h
ecs.hfr8i.4xlarge,16,128.0,,hfr8i,h
ecs.hfg7.2xlarge,8,32.0,,hfg7,h
ecs.hfr7.large,2,16.0,,hfr7,h
ecs.hfr7.4xlarge,16,128.0,,hfr7,h
ecs.hfg6.3xlarge,12,48.0,5.2432,hfg6,h
ecs.hfg7.large,2,8.0,,hfg7,h
ecs.hfc8i.6xlarge,24,48.0,,hfc8i,h
ecs.hfr6.8xlarge,32,256.0,17.6676,hfr6,h
ecs.hfr7.3xlarge,12,96.0,,hfr7,h
ecs.hfr6.2xlarge,8,64.0,4.4244,hfr6,h
ecs.hfc8i.xlarge,4,8.0,,hfc8i,h
ecs.hfg7.12xlarge,48,192.0,,hfg7,h
ecs.hfr7.12xlarge,48,384.0,,hfr7,h
ecs.hfr6.3xlarge,12,96.0,6.6316,hfr6,h
ecs.hfr6.xlarge,4,32.0,2.2172,hfr6,h
ecs.hfg6.xlarge,4,16.0,1.7544,hfg6,h
ecs.hfg6.2xlarge,8,32.0,3.4988,hfg6,h
ecs.hfr6.4xlarge,16,128.0,8.8388,hfr6,h
ecs.hfg7.3xlarge,12,48.0,,hfg7,h
ecs.hfc7.4xlarge,16,32.0,,hfc7,h
ecs.hfc8i.32xlarge,128,256.0,,hfc8i,h
ecs.hfc7.12xlarge,48,96.0,,hfc7,h
ecs.hfc7.6xlarge,24,48.0,,hfc7,h
ecs.hfg6.4xlarge,16,64.0,6.9876,hfg6,h
ecs.hfg7.6xlarge,24,96.0,,hfg7,h
ecs.hfg8i.large,2,8.0,,hfg8i,h
ecs.hfg8i.4xlarge,16,64.0,,hfg8i,h
ecs.hfr7.6xlarge,24,192.0,,hfr7,h
ecs.hfc6.xlarge,4,8.0,1.3806,hfc6,h
ecs.hfg7.8xlarge,32,128.0,,hfg7,h
ecs.hfc6.large,2,4.0,0.6953,hfc6,h
ecs.hfr8i.2xlarge,8,64.0,,hfr8i,h
ecs.hfc7.xlarge,4,8.0,,hfc7,h
ecs.hfc8i.16xlarge,64,128.0,,hfc8i,h
ecs.hfr6.large,2,16.0,1.1136,hfr6,h
ecs.hfc6.8xlarge,32,64.0,10.9748,hfc6,h
ecs.hfg6.8xlarge,32,128.0,13.9652,hfg6,h
ecs.hfr8i.4xlarge,16,128.0,,hfr8i,h
ecs.hfc6.10xlarge,40,96.0,13.716,hfc6,h
ecs.hfc6.6xlarge,24,48.0,8.2336,hfc6,h
ecs.hfc8i.large,2,4.0,,hfc8i,h
ecs.hfg6.3xlarge,12,48.0,5.2432,hfg6,h
ecs.hfr6.10xlarge,40,384.0,22.082,hfr6,h
ecs.hfc8i.6xlarge,24,48.0,,hfc8i,h
ecs.hfc8i.3xlarge,12,24.0,,hfc8i,h
ecs.hfr6.8xlarge,32,256.0,17.6676,hfr6,h
ecs.hfg6.10xlarge,40,192.0,17.454,hfg6,h
ecs.hfr8i.xlarge,4,32.0,,hfr8i,h
ecs.hfc6.2xlarge,8,16.0,2.7512,hfc6,h
ecs.hfc8i.4xlarge,16,32.0,,hfc8i,h
ecs.hfr6.2xlarge,8,64.0,4.4244,hfr6,h
ecs.hfc8i.xlarge,4,8.0,,hfc8i,h
ecs.hfr6.3xlarge,12,96.0,6.6316,hfr6,h
ecs.hfc6.3xlarge,12,24.0,4.1218,hfc6,h
ecs.hfc8i.2xlarge,8,16.0,,hfc8i,h
ecs.hfr6.xlarge,4,32.0,2.2172,hfr6,h
ecs.hfg6.xlarge,4,16.0,1.7544,hfg6,h
ecs.hfg6.2xlarge,8,32.0,3.4988,hfg6,h
ecs.hfr6.4xlarge,16,128.0,8.8388,hfr6,h
ecs.hfg6.16xlarge,64,256.0,27.9204,hfg6,h
ecs.hfr6.16xlarge,64,512.0,35.3252,hfr6,h
ecs.hfc8i.32xlarge,128,256.0,,hfc8i,h
ecs.hfg6.4xlarge,16,64.0,6.9876,hfg6,h
ecs.hfc6.16xlarge,64,128.0,21.9396,hfc6,h
ecs.hfr8i.large,2,16.0,,hfr8i,h
ecs.hfc6.20xlarge,80,192.0,27.422,hfc6,h
ecs.hfr6.6xlarge,24,192.0,13.2532,hfr6,h
ecs.hfr8i.3xlarge,12,96.0,,hfr8i,h
ecs.hfc6.4xlarge,16,32.0,5.4924,hfc6,h
ecs.hfc8i.8xlarge,32,64.0,,hfc8i,h
ecs.hfg6.6xlarge,24,96.0,10.4764,hfg6,h
ecs.hfr8i.6xlarge,24,192.0,,hfr8i,h
ecs.hfg6.large,2,8.0,0.8822,hfg6,h
ecs.hfc6.xlarge,4,8.0,1.3806,hfc6,h
ecs.hfr8i.8xlarge,32,256.0,,hfr8i,h
ecs.hfc6.large,2,4.0,0.6953,hfc6,h
ecs.hfr8i.2xlarge,8,64.0,,hfr8i,h
ecs.hfc8i.16xlarge,64,128.0,,hfc8i,h
ecs.hfr6.20xlarge,80,768.0,44.154,hfr6,h
ecs.hfr6.large,2,16.0,1.1136,hfr6,h
ecs.hfc6.6xlarge,24,48.0,8.2336,hfc6,h
ecs.hfc8i.large,2,4.0,,hfc8i,h
ecs.hfg8i.2xlarge,8,32.0,,hfg8i,h
ecs.hfc7.2xlarge,8,16.0,,hfc7,h
ecs.hfc7.8xlarge,32,64.0,,hfc7,h
ecs.hfc8i.3xlarge,12,24.0,,hfc8i,h
ecs.hfg8i.xlarge,4,16.0,,hfg8i,h
ecs.hfr7.24xlarge,96,768.0,,hfr7,h
ecs.hfr8i.xlarge,4,32.0,,hfr8i,h
ecs.hfc6.2xlarge,8,16.0,2.7512,hfc6,h
ecs.hfc8i.4xlarge,16,32.0,,hfc8i,h
ecs.hfr7.xlarge,4,32.0,,hfr7,h
ecs.hfc6.3xlarge,12,24.0,4.1218,hfc6,h
ecs.hfc8i.2xlarge,8,16.0,,hfc8i,h
ecs.hfg7.xlarge,4,16.0,,hfg7,h
ecs.hfr7.2xlarge,8,64.0,,hfr7,h
ecs.hfc7.3xlarge,12,24.0,,hfc7,h
ecs.hfc6.16xlarge,64,128.0,21.9396,hfc6,h
ecs.hfr8i.large,2,16.0,,hfr8i,h
ecs.hfc7.24xlarge,96,192.0,,hfc7,h
ecs.hfr6.6xlarge,24,192.0,13.2532,hfr6,h
ecs.hfr8i.3xlarge,12,96.0,,hfr8i,h
ecs.hfc6.4xlarge,16,32.0,5.4924,hfc6,h
ecs.hfc8i.8xlarge,32,64.0,,hfc8i,h
ecs.hfg6.6xlarge,24,96.0,10.4764,hfg6,h
ecs.hfr8i.6xlarge,24,192.0,,hfr8i,h
ecs.hfg6.large,2,8.0,0.8822,hfg6,h
ecs.hfr7.8xlarge,32,256.0,,hfr7,h
ecs.hfg7.4xlarge,16,64.0,,hfg7,h
ecs.hfg7.24xlarge,96,384.0,,hfg7,h
ecs.hfc7.large,2,4.0,,hfc7,h
ecs.hfg8i.3xlarge,12,48.0,,hfg8i,h
ecs.hfc6.8xlarge,32,64.0,10.9748,hfc6,h
ecs.hfg6.8xlarge,32,128.0,13.9652,hfg6,h
ecs.hfr8i.4xlarge,16,128.0,,hfr8i,h
ecs.hfc6.10xlarge,40,96.0,13.716,hfc6,h
ecs.hfg7.2xlarge,8,32.0,,hfg7,h
ecs.hfr7.large,2,16.0,,hfr7,h
ecs.hfr7.4xlarge,16,128.0,,hfr7,h
ecs.hfg6.3xlarge,12,48.0,5.2432,hfg6,h
ecs.hfg7.large,2,8.0,,hfg7,h
ecs.hfc8i.6xlarge,24,48.0,,hfc8i,h
ecs.hfr6.8xlarge,32,256.0,17.6676,hfr6,h
ecs.hfr7.3xlarge,12,96.0,,hfr7,h
ecs.hfr6.2xlarge,8,64.0,4.4244,hfr6,h
ecs.hfc8i.xlarge,4,8.0,,hfc8i,h
ecs.hfg7.12xlarge,48,192.0,,hfg7,h
ecs.hfr7.12xlarge,48,384.0,,hfr7,h
ecs.hfr6.3xlarge,12,96.0,6.6316,hfr6,h
ecs.hfr6.xlarge,4,32.0,2.2172,hfr6,h
ecs.hfg6.xlarge,4,16.0,1.7544,hfg6,h
ecs.hfg6.2xlarge,8,32.0,3.4988,hfg6,h
ecs.hfr6.4xlarge,16,128.0,8.8388,hfr6,h
ecs.hfg7.3xlarge,12,48.0,,hfg7,h
ecs.hfc7.4xlarge,16,32.0,,hfc7,h
ecs.hfc7.12xlarge,48,96.0,,hfc7,h
ecs.hfc7.6xlarge,24,48.0,,hfc7,h
ecs.hfg6.4xlarge,16,64.0,6.9876,hfg6,h
ecs.hfg7.6xlarge,24,96.0,,hfg7,h
ecs.hfc6.20xlarge,80,192.0,27.422,hfc6,h
ecs.hfg8i.4xlarge,16,64.0,,hfg8i,h
ecs.hfr7.6xlarge,24,192.0,,hfr7,h
ecs.hfc6.xlarge,4,8.0,1.3806,hfc6,h
ecs.hfg7.8xlarge,32,128.0,,hfg7,h
ecs.hfc6.large,2,4.0,0.6953,hfc6,h
ecs.hfr8i.2xlarge,8,64.0,,hfr8i,h
ecs.hfc7.xlarge,4,8.0,,hfc7,h
ecs.hfc8i.16xlarge,64,128.0,,hfc8i,h
ecs.hfr6.large,2,16.0,1.1136,hfr6,h
ecs.i2ne.16xlarge,64,512.0,36.13,i2ne,i
ecs.i2.16xlarge,64,512.0,30.5281,i2,i
ecs.i4.4xlarge,16,128.0,,i4,i
ecs.i2ne.2xlarge,8,64.0,4.525,i2ne,i
ecs.i4.xlarge,4,32.0,,i4,i
ecs.i2gne.8xlarge,32,128.0,13.1909,i2gne,i
ecs.i2g.2xlarge,8,32.0,3.14814,i2g,i
ecs.i2gne.16xlarge,64,256.0,26.37536,i2gne,i
ecs.i4.8xlarge,32,256.0,,i4,i
ecs.i4.large,2,16.0,,i4,i
ecs.i2g.8xlarge,32,128.0,12.56256,i2g,i
ecs.i4.2xlarge,8,64.0,,i4,i
ecs.i4.32xlarge,128,1024.0,,i4,i
ecs.i2gne.2xlarge,8,32.0,3.30567,i2gne,i
ecs.i2.2xlarge,8,64.0,3.8281,i2,i
ecs.i2.8xlarge,32,256.0,15.2735,i2,i
ecs.i2.4xlarge,16,128.0,7.6462,i2,i
ecs.i4.16xlarge,64,512.0,,i4,i
ecs.i2g.16xlarge,64,256.0,25.11512,i2g,i
ecs.i2ne.20xlarge,80,704.0,45.16,i2ne,i
ecs.i2g.4xlarge,16,64.0,6.28628,i2g,i
ecs.i2ne.8xlarge,32,256.0,18.07,i2ne,i
ecs.i2.xlarge,4,32.0,1.9235,i2,i
ecs.i2gne.4xlarge,16,64.0,6.60134,i2gne,i
ecs.i2ne.xlarge,4,32.0,2.2675,i2ne,i
ecs.i2ne.4xlarge,16,128.0,9.04,i2ne,i
ecs.i2ne.16xlarge,64,512.0,36.13,i2ne,i
ecs.i2.16xlarge,64,512.0,30.5281,i2,i
ecs.i2ne.2xlarge,8,64.0,4.525,i2ne,i
ecs.i2ne.20xlarge,80,704.0,45.16,i2ne,i
ecs.i2ne.8xlarge,32,256.0,18.07,i2ne,i
ecs.i2.xlarge,4,32.0,1.9235,i2,i
ecs.i2.2xlarge,8,64.0,3.8281,i2,i
ecs.i2.8xlarge,32,256.0,15.2735,i2,i
ecs.i2.4xlarge,16,128.0,7.6462,i2,i
ecs.i2ne.xlarge,4,32.0,2.2675,i2ne,i
ecs.i2ne.4xlarge,16,128.0,9.04,i2ne,i
ecs.i2ne.16xlarge,64,512.0,36.13,i2ne,i
ecs.i2.16xlarge,64,512.0,30.5281,i2,i
ecs.i2ne.2xlarge,8,64.0,4.525,i2ne,i
ecs.i1.4xlarge,16,64.0,7.15,i1,i
ecs.i2.2xlarge,8,64.0,3.8281,i2,i
ecs.i2.8xlarge,32,256.0,15.2735,i2,i
ecs.i1.14xlarge,56,224.0,24.88,i1,i
ecs.i2.4xlarge,16,128.0,7.6462,i2,i
ecs.i1.2xlarge,8,32.0,3.58,i1,i
ecs.i2ne.20xlarge,80,704.0,45.16,i2ne,i
ecs.i1.3xlarge,12,48.0,5.35,i1,i
ecs.i1.xlarge,4,16.0,1.79,i1,i
ecs.i2ne.8xlarge,32,256.0,18.07,i2ne,i
ecs.i2.xlarge,4,32.0,1.9235,i2,i
ecs.i1.8xlarge,32,128.0,14.29,i1,i
ecs.i1-c5d1.4xlarge,16,64.0,8.77,i1-c5d1,i
ecs.i1.6xlarge,24,96.0,10.69,i1,i
ecs.i2ne.xlarge,4,32.0,2.2675,i2ne,i
ecs.i2ne.4xlarge,16,128.0,9.04,i2ne,i
ecs.i1-c10d1.8xlarge,32,128.0,15.27,i1-c10d1,i
ecs.mn4.large,2,8.0,0.748,mn4,m
ecs.mn4.xlarge,4,16.0,1.477,mn4,m
ecs.mn4.small,1,4.0,0.379,mn4,m
ecs.mn4.2xlarge,8,32.0,2.953,mn4,m
ecs.mn4.4xlarge,16,64.0,5.9,mn4,m
ecs.mn4.large,2,8.0,0.748,mn4,m
ecs.mn4.8xlarge,32,128.0,11.787,mn4,m
ecs.mn4.xlarge,4,16.0,1.477,mn4,m
ecs.mn4.small,1,4.0,0.379,mn4,m
ecs.mn4.2xlarge,8,32.0,2.953,mn4,m
ecs.mn4.4xlarge,16,64.0,5.9,mn4,m
ecs.n4.8xlarge,32,64.0,9.435,n4,n
ecs.n4.large,2,4.0,0.428,n4,n
ecs.n4.xlarge,4,8.0,1.189,n4,n
ecs.n4.small,1,2.0,0.219,n4,n
ecs.n4.4xlarge,16,32.0,4.726,n4,n
ecs.n4.8xlarge,32,64.0,9.435,n4,n
ecs.n4.large,2,4.0,0.428,n4,n
ecs.n4.xlarge,4,8.0,1.189,n4,n
ecs.n4.small,1,2.0,0.219,n4,n
ecs.n4.4xlarge,16,32.0,4.726,n4,n
ecs.n4.2xlarge,8,16.0,2.368,n4,n
ecs.r7se.3xlarge,12,96.0,,r7se,r
ecs.r8i.large,2,16.0,,r8i,r
ecs.r7.16xlarge,64,512.0,,r7,r
ecs.r7.32xlarge,128,1024.0,,r7,r
ecs.r8y.16xlarge,64,512.0,,r8y,r
ecs.r8i.6xlarge,24,192.0,,r8i,r
ecs.r7se.6xlarge,24,192.0,,r7se,r
ecs.r7a.xlarge,4,32.0,,r7a,r
ecs.r8i.8xlarge,32,256.0,,r8i,r
ecs.r8i.2xlarge,8,64.0,,r8i,r
ecs.r8a.xlarge,4,32.0,,r8a,r
ecs.r6.3xlarge,12,96.0,6.0442,r6,r
ecs.r7.8xlarge,32,256.0,,r7,r
ecs.r8a.12xlarge,48,384.0,,r8a,r
ecs.r8i.4xlarge,16,128.0,,r8i,r
ecs.r7se.8xlarge,32,256.0,,r7se,r
ecs.r8i.12xlarge,48,384.0,,r8i,r
ecs.r6e.4xlarge,16,128.0,,r6e,r
ecs.r7se.2xlarge,8,64.0,,r7se,r
ecs.r7a.4xlarge,16,128.0,,r7a,r
ecs.r7.large,2,16.0,,r7,r
ecs.r7.6xlarge,24,192.0,,r7,r
ecs.r8y.4xlarge,16,128.0,,r8y,r
ecs.r6e.large,2,16.0,,r6e,r
ecs.r6e.2xlarge,8,64.0,,r6e,r
ecs.r8y.small,1,8.0,,r8y,r
ecs.r7se.xlarge,4,32.0,,r7se,r
ecs.r8y.large,2,16.0,,r8y,r
ecs.r8y.2xlarge,8,64.0,,r8y,r
ecs.r8a.16xlarge,64,512.0,,r8a,r
ecs.r8a.32xlarge,128,1024.0,,r8a,r
ecs.r7se.large,2,16.0,,r7se,r
ecs.r7.2xlarge,8,64.0,,r7,r
ecs.r7a.large,2,16.0,,r7a,r
ecs.r8a.8xlarge,32,256.0,,r8a,r
ecs.r8a.large,2,16.0,,r8a,r
ecs.r8a.2xlarge,8,64.0,,r8a,r
ecs.r8i.xlarge,4,32.0,,r8i,r
ecs.r8a.24xlarge,96,768.0,,r8a,r
ecs.r8y.xlarge,4,32.0,,r8y,r
ecs.r7.3xlarge,12,96.0,,r7,r
ecs.r7.4xlarge,16,128.0,,r7,r
ecs.r7se.4xlarge,16,128.0,,r7se,r
ecs.r8a.4xlarge,16,128.0,,r8a,r
ecs.r6e.xlarge,4,32.0,,r6e,r
ecs.r7a.2xlarge,8,64.0,,r7a,r
ecs.r6.large,2,16.0,1.0157,r6,r
ecs.r8i.3xlarge,12,96.0,,r8i,r
ecs.r7se.16xlarge,64,512.0,,r7se,r
ecs.r6.2xlarge,8,64.0,4.0328,r6,r
ecs.r7.xlarge,4,32.0,,r7,r
ecs.r8y.8xlarge,32,256.0,,r8y,r
ecs.r6.xlarge,4,32.0,2.0214,r6,r
ecs.r7se.3xlarge,12,96.0,,r7se,r
ecs.r8a.16xlarge,64,512.0,,r8a,r
ecs.r8i.large,2,16.0,,r8i,r
ecs.r7se.large,2,16.0,,r7se,r
ecs.r7.16xlarge,64,512.0,,r7,r
ecs.r7.32xlarge,128,1024.0,,r7,r
ecs.r6.13xlarge,52,384.0,26.1582,r6,r
ecs.r6.6xlarge,24,192.0,12.0784,r6,r
ecs.r7.2xlarge,8,64.0,,r7,r
ecs.r8i.6xlarge,24,192.0,,r8i,r
ecs.r7se.6xlarge,24,192.0,,r7se,r
ecs.r8a.8xlarge,32,256.0,,r8a,r
ecs.r8a.large,2,16.0,,r8a,r
ecs.r8i.8xlarge,32,256.0,,r8i,r
ecs.r8i.2xlarge,8,64.0,,r8i,r
ecs.r8a.2xlarge,8,64.0,,r8a,r
ecs.r8a.xlarge,4,32.0,,r8a,r
ecs.r8i.xlarge,4,32.0,,r8i,r
ecs.r6.3xlarge,12,96.0,6.0442,r6,r
ecs.r7.8xlarge,32,256.0,,r7,r
ecs.r8a.12xlarge,48,384.0,,r8a,r
ecs.r8i.4xlarge,16,128.0,,r8i,r
ecs.r7se.8xlarge,32,256.0,,r7se,r
ecs.r8i.12xlarge,48,384.0,,r8i,r
ecs.r6e.4xlarge,16,128.0,,r6e,r
ecs.r7.3xlarge,12,96.0,,r7,r
ecs.r7se.2xlarge,8,64.0,,r7se,r
ecs.r7.large,2,16.0,,r7,r
ecs.r6.8xlarge,32,256.0,16.1012,r6,r
ecs.r7.6xlarge,24,192.0,,r7,r
ecs.r7.4xlarge,16,128.0,,r7,r
ecs.r6e.13xlarge,52,384.0,,r6e,r
ecs.r7se.4xlarge,16,128.0,,r7se,r
ecs.r6e.large,2,16.0,,r6e,r
ecs.r8a.4xlarge,16,128.0,,r8a,r
ecs.r6e.xlarge,4,32.0,,r6e,r
ecs.r6.4xlarge,16,128.0,8.0556,r6,r
ecs.r6e.2xlarge,8,64.0,,r6e,r
ecs.r6.large,2,16.0,1.0157,r6,r
ecs.r8i.3xlarge,12,96.0,,r8i,r
ecs.r6.26xlarge,104,768.0,52.3064,r6,r
ecs.r7se.16xlarge,64,512.0,,r7se,r
ecs.r6.2xlarge,8,64.0,4.0328,r6,r
ecs.r6e.8xlarge,32,256.0,,r6e,r
ecs.r7.xlarge,4,32.0,,r7,r
ecs.r7se.xlarge,4,32.0,,r7se,r
ecs.r6.xlarge,4,32.0,2.0214,r6,r
ecs.r7se.3xlarge,12,96.0,,r7se,r
ecs.r8i.large,2,16.0,,r8i,r
ecs.r7.16xlarge,64,512.0,,r7,r
ecs.r7.32xlarge,128,1024.0,,r7,r
ecs.r6.6xlarge,24,192.0,12.0784,r6,r
ecs.r8y.16xlarge,64,512.0,,r8y,r
ecs.r8i.6xlarge,24,192.0,,r8i,r
ecs.r7se.6xlarge,24,192.0,,r7se,r
ecs.r7a.xlarge,4,32.0,,r7a,r
ecs.r8i.8xlarge,32,256.0,,r8i,r
ecs.r8i.2xlarge,8,64.0,,r8i,r
ecs.r8a.xlarge,4,32.0,,r8a,r
ecs.r6.3xlarge,12,96.0,6.0442,r6,r
ecs.r7.8xlarge,32,256.0,,r7,r
ecs.r8a.12xlarge,48,384.0,,r8a,r
ecs.r8i.4xlarge,16,128.0,,r8i,r
ecs.r7se.8xlarge,32,256.0,,r7se,r
ecs.r8i.12xlarge,48,384.0,,r8i,r
ecs.r6e.4xlarge,16,128.0,,r6e,r
ecs.r7se.2xlarge,8,64.0,,r7se,r
ecs.r7a.4xlarge,16,128.0,,r7a,r
ecs.r7.large,2,16.0,,r7,r
ecs.r6.8xlarge,32,256.0,16.1012,r6,r
ecs.r7.6xlarge,24,192.0,,r7,r
ecs.r8y.4xlarge,16,128.0,,r8y,r
ecs.r6e.large,2,16.0,,r6e,r
ecs.r6e.2xlarge,8,64.0,,r6e,r
ecs.r8y.small,1,8.0,,r8y,r
ecs.r7se.xlarge,4,32.0,,r7se,r
ecs.r8y.large,2,16.0,,r8y,r
ecs.r8y.2xlarge,8,64.0,,r8y,r
ecs.r8a.16xlarge,64,512.0,,r8a,r
ecs.r7se.large,2,16.0,,r7se,r
ecs.r6.13xlarge,52,384.0,26.1582,r6,r
ecs.r7.2xlarge,8,64.0,,r7,r
ecs.r7a.large,2,16.0,,r7a,r
ecs.r8a.8xlarge,32,256.0,,r8a,r
ecs.r8a.large,2,16.0,,r8a,r
ecs.r8a.2xlarge,8,64.0,,r8a,r
ecs.r8i.xlarge,4,32.0,,r8i,r
ecs.r8y.xlarge,4,32.0,,r8y,r
ecs.r7.3xlarge,12,96.0,,r7,r
ecs.r7.4xlarge,16,128.0,,r7,r
ecs.r6e.13xlarge,52,384.0,,r6e,r
ecs.r7se.4xlarge,16,128.0,,r7se,r
ecs.r8a.4xlarge,16,128.0,,r8a,r
ecs.r6e.xlarge,4,32.0,,r6e,r
ecs.r7a.2xlarge,8,64.0,,r7a,r
ecs.r6.4xlarge,16,128.0,8.0556,r6,r
ecs.r6.large,2,16.0,1.0157,r6,r
ecs.r8i.3xlarge,12,96.0,,r8i,r
ecs.r6.26xlarge,104,768.0,52.3064,r6,r
ecs.r7se.16xlarge,64,512.0,,r7se,r
ecs.r6.2xlarge,8,64.0,4.0328,r6,r
ecs.r6e.8xlarge,32,256.0,,r6e,r
ecs.r7.xlarge,4,32.0,,r7,r
ecs.r8y.8xlarge,32,256.0,,r8y,r
ecs.r6.xlarge,4,32.0,2.0214,r6,r
ecs.re6.13xlarge,52,768.0,36.3042,re6,re
ecs.re6.52xlarge,208,3072.0,145.1868,re6,re
ecs.re6.26xlarge,104,1536.0,72.5984,re6,re
ecs.sn1.medium,2,4.0,0.669,sn1,s
ecs.sn1.3xlarge,16,32.0,5.281,sn1,s
ecs.sn1ne.2xlarge,8,16.0,2.788,sn1ne,s
ecs.sn1ne.3xlarge,12,24.0,4.162,sn1ne,s
ecs.sn1.large,4,8.0,1.333,sn1,s
ecs.sn1ne.4xlarge,16,32.0,5.545,sn1ne,s
ecs.sn1ne.xlarge,4,8.0,1.4,sn1ne,s
ecs.sn1.xlarge,8,16.0,2.655,sn1,s
ecs.sn1ne.large,2,4.0,0.702,sn1ne,s
ecs.sgn7i-vws-m2.xlarge,4,15.5,,sgn7i-vws-m2,s
ecs.sgn7i-vws-m8s.4xlarge,16,32.0,,sgn7i-vws-m8s,s
ecs.sgn7i-vws-m8.4xlarge,16,62.0,,sgn7i-vws-m8,s
ecs.sgn7i-vws-m2s.xlarge,4,8.0,,sgn7i-vws-m2s,s
ecs.t6-c1m4.large,2,8.0,0.6703,t6-c1m4,t
ecs.t6-c1m1.large,2,2.0,0.1774,t6-c1m1,t
ecs.t6-c2m1.large,2,1.0,0.103,t6-c2m1,t
ecs.t6-c1m2.large,2,4.0,0.3355,t6-c1m2,t
ecs.t6-c4m1.large,2,0.5,0.0565,t6-c4m1,t
ecs.t6-c1m4.xlarge,4,16.0,1.3213,t6-c1m4,t
ecs.t6-c1m4.2xlarge,8,32.0,2.6233,t6-c1m4,t
ecs.t5-c1m2.4xlarge,16,32.0,2.2606,t5-c1m2,t
ecs.t5-c1m2.xlarge,4,8.0,0.5773,t5-c1m2,t
ecs.t5-lc1m2.small,1,2.0,0.1402,t5-lc1m2,t
ecs.t5-lc1m4.large,2,8.0,0.3727,t5-lc1m4,t
ecs.t5-c1m4.2xlarge,8,32.0,1.9258,t5-c1m4,t
ecs.t6-c1m4.large,2,8.0,0.6703,t6-c1m4,t
ecs.t5-lc1m1.small,1,1.0,0.0937,t5-lc1m1,t
ecs.t5-c1m4.xlarge,4,16.0,0.9679,t5-c1m4,t
ecs.t6-c4m1.large,2,0.5,0.0565,t6-c4m1,t
ecs.t5-lc2m1.nano,1,0.5,0.0565,t5-lc2m1,t
ecs.t6-c1m1.large,2,2.0,0.1774,t6-c1m1,t
ecs.t5-c1m2.large,2,4.0,0.2983,t5-c1m2,t
ecs.t5-c1m1.4xlarge,16,16.0,1.6375,t5-c1m1,t
ecs.t5-c1m2.2xlarge,8,16.0,1.1353,t5-c1m2,t
ecs.t5-c1m1.large,2,2.0,0.2146,t5-c1m1,t
ecs.t6-c1m4.xlarge,4,16.0,1.3213,t6-c1m4,t
ecs.t6-c2m1.large,2,1.0,0.103,t6-c2m1,t
ecs.t5-c1m4.large,2,8.0,0.4936,t5-c1m4,t
ecs.t6-c1m2.large,2,4.0,0.3355,t6-c1m2,t
ecs.t5-c1m1.2xlarge,8,8.0,0.8284,t5-c1m1,t
ecs.t5-c1m1.xlarge,4,4.0,0.4192,t5-c1m1,t
ecs.t5-lc1m2.large,2,4.0,0.2518,t5-lc1m2,t
ecs.t5-c1m2.4xlarge,16,32.0,2.2606,t5-c1m2,t
ecs.t5-lc1m2.small,1,2.0,0.1402,t5-lc1m2,t
ecs.t5-lc1m4.large,2,8.0,0.3727,t5-lc1m4,t
ecs.t5-c1m4.2xlarge,8,32.0,1.9258,t5-c1m4,t
ecs.t6-c1m4.large,2,8.0,0.6703,t6-c1m4,t
ecs.t5-lc1m1.small,1,1.0,0.0937,t5-lc1m1,t
ecs.t5-c1m4.xlarge,4,16.0,0.9679,t5-c1m4,t
ecs.t5-lc2m1.nano,1,0.5,0.0565,t5-lc2m1,t
ecs.t6-c1m1.large,2,2.0,0.1774,t6-c1m1,t
ecs.t5-c1m2.large,2,4.0,0.2983,t5-c1m2,t
ecs.t5-c1m2.2xlarge,8,16.0,1.1353,t5-c1m2,t
ecs.t5-c1m1.large,2,2.0,0.2146,t5-c1m1,t
ecs.t6-c2m1.large,2,1.0,0.103,t6-c2m1,t
ecs.t6-c1m2.large,2,4.0,0.3355,t6-c1m2,t
ecs.t5-c1m1.2xlarge,8,8.0,0.8284,t5-c1m1,t
ecs.t5-c1m1.xlarge,4,4.0,0.4192,t5-c1m1,t
