Series,InstanceType,CPU,Memory,Price
ecs.c8i.16xlarge,64,128.0,,c8i,c
ecs.c7a.32xlarge,128,256.0,,c7a,c
ecs.d2s.5xlarge,20,88.0,19.8926,d2s,d
ecs.d2s.10xlarge,40,176.0,39.76808,d2s,d
ecs.d2c.6xlarge,24,88.0,15.78792,d2c,d
ecs.d2c.12xlarge,48,176.0,31.56584,d2c,d
ecs.d2s.20xlarge,80,352.0,79.52527,d2s,d
ecs.d2c.24xlarge,96,352.0,63.11545,d2c,d
ecs.d1ne.2xlarge,8,32.0,5.482,d1ne,d
ecs.d1ne-c14d3.14xlarge,56,160.0,31.92,d1ne-c14d3,d
ecs.d1ne-c8d3.8xlarge,32,128.0,21.05,d1ne-c8d3,d
ecs.d1ne.8xlarge,32,128.0,21.912,d1ne,d
ecs.d1ne.6xlarge,24,96.0,16.433,d1ne,d
ecs.d1ne.14xlarge,56,224.0,38.327,d1ne,d
ecs.d1ne.4xlarge,16,64.0,10.961,d1ne,d
ecs.d2s.5xlarge,20,88.0,19.8926,d2s,d
ecs.d2s.10xlarge,40,176.0,39.76808,d2s,d
ecs.e-c1m4.large,2,8.0,,e-c1m4,e
ecs.ebmc7.32xlarge,128,256.0,,ebmc7,e
ecs.e-c1m4.xlarge,4,16.0,,e-c1m4,e
ecs.ebmc8i.48xlarge,192,512.0,,ebmc8i,e
ecs.e-c2m1.large,2,1.0,,e-c2m1,e
ecs.e-c1m2.large,2,4.0,,e-c1m2,e
ecs.e-c1m2.2xlarge,8,16.0,,e-c1m2,e
ecs.e4.small,1,8.0,0.7,e4,e
ecs.e-c1m4.2xlarge,8,32.0,,e-c1m4,e
ecs.e-c1m1.large,2,2.0,,e-c1m1,e
ecs.ebmr7.32xlarge,128,1024.0,,ebmr7,e
ecs.e-c4m1.large,2,0.5,,e-c4m1,e
ecs.e-c1m2.xlarge,4,8.0,,e-c1m2,e
ecs.ebmc6.26xlarge,104,192.0,34.85,ebmc6,e
ecs.ebmg5s.24xlarge,96,384.0,38.97,ebmg5s,e
ecs.e-c1m4.large,2,8.0,,e-c1m4,e
ecs.ebmc7.32xlarge,128,256.0,,ebmc7,e
ecs.e-c1m4.xlarge,4,16.0,,e-c1m4,e
ecs.ebmc5s.24xlarge,96,192.0,28.58,ebmc5s,e
ecs.ebmc8i.48xlarge,192,512.0,,ebmc8i,e
ecs.e-c2m1.large,2,1.0,,e-c2m1,e
ecs.e-c1m4.2xlarge,8,32.0,,e-c1m4,e
ecs.e-c1m1.large,2,2.0,,e-c1m1,e
ecs.e-c1m2.large,2,4.0,,e-c1m2,e
ecs.ebmr7.32xlarge,128,1024.0,,ebmr7,e
ecs.ebmhfc6.20xlarge,80,192.0,30.81,ebmhfc6,e
ecs.e-c4m1.large,2,0.5,,e-c4m1,e
ecs.ebmr6.26xlarge,104,768.0,58.77,ebmr6,e
ecs.e-c1m2.2xlarge,8,16.0,,e-c1m2,e
ecs.e-c1m2.xlarge,4,8.0,,e-c1m2,e
ecs.ebmc6.26xlarge,104,192.0,34.85,ebmc6,e
ecs.ebmg7.32xlarge,128,512.0,,ebmg7,e
ecs.e-c1m4.large,2,8.0,,e-c1m4,e
ecs.ebmc7.32xlarge,128,256.0,,ebmc7,e
ecs.e-c1m4.xlarge,4,16.0,,e-c1m4,e
ecs.ebmc8i.48xlarge,192,512.0,,ebmc8i,e
ecs.e-c2m1.large,2,1.0,,e-c2m1,e
ecs.e-c1m2.large,2,4.0,,e-c1m2,e
ecs.e-c1m2.2xlarge,8,16.0,,e-c1m2,e
ecs.e4.small,1,8.0,0.7,e4,e
ecs.ebmg6.26xlarge,104,384.0,46.29,ebmg6,e
ecs.e-c1m4.2xlarge,8,32.0,,e-c1m4,e
ecs.e-c1m1.large,2,2.0,,e-c1m1,e
