Series,Family,InstanceType,CPU,Memory,Price
ra,r7a,ecs.r7a.large,2,16.0,
ra,r7a,ecs.r7a.xlarge,4,32.0,
ra,r7a,ecs.r7a.2xlarge,8,64.0,
ra,r7a,ecs.r7a.4xlarge,16,128.0,
