Series,Family,InstanceType,CPU,Memory,Price
ca,c8a,ecs.c8a.large,2,4.0,
ca,c8a,ecs.c8a.xlarge,4,8.0,
ca,c8a,ecs.c8a.2xlarge,8,16.0,
ca,c8a,ecs.c8a.4xlarge,16,32.0,
ca,c8a,ecs.c8a.8xlarge,32,64.0,
ca,c8a,ecs.c8a.12xlarge,48,96.0,
ca,c8a,ecs.c8a.16xlarge,64,128.0,
ca,c8a,ecs.c8a.24xlarge,96,192.0,
ca,c8a,ecs.c8a.32xlarge,128,256.0,
ca,c8a,ecs.c8a.48xlarge,192,384.0,
