Series,Family,InstanceType,CPU,Memory,Price
ucm,u1-c1m4,ecs.u1-c1m4.large,2,8.0,
ucm,u1-c1m4,ecs.u1-c1m4.xlarge,4,16.0,
ucm,u1-c1m4,ecs.u1-c1m4.2xlarge,8,32.0,
ucm,u1-c1m4,ecs.u1-c1m4.3xlarge,12,48.0,
ucm,u1-c1m4,ecs.u1-c1m4.4xlarge,16,64.0,
ucm,u1-c1m4,ecs.u1-c1m4.8xlarge,32,128.0,
