Series,Family,InstanceType,CPU,Memory,Price
ecm,e-c1m4,ecs.e-c1m4.large,2,8.0,
ecm,e-c1m4,ecs.e-c1m4.xlarge,4,16.0,
ecm,e-c1m4,ecs.e-c1m4.2xlarge,8,32.0,
